group1,group2,delta,interpretation,ci_lower,ci_upper,size,metric
JSON-minify0-gzip0,JSON-minify0-gzip1,0.0,negligible,0.0,0.0,extra-small,FID (ms)
JSON-minify0-gzip0,JSON-minify1-gzip0,0.0,negligible,0.0,0.0,extra-small,FID (ms)
JSON-minify0-gzip0,JSON-minify1-gzip1,0.0,negligible,0.0,0.0,extra-small,FID (ms)
JSON-minify0-gzip0,HTML-gzip0,0.0,negligible,0.0,0.0,extra-small,FID (ms)
JSON-minify0-gzip0,HTML-gzip1,0.0,negligible,0.0,0.0,extra-small,FID (ms)
JSON-minify0-gzip1,JSON-minify1-gzip0,0.0,negligible,0.0,0.0,extra-small,FID (ms)
JSON-minify0-gzip1,JSON-minify1-gzip1,0.0,negligible,0.0,0.0,extra-small,FID (ms)
JSON-minify0-gzip1,HTML-gzip0,0.0,negligible,0.0,0.0,extra-small,FID (ms)
JSON-minify0-gzip1,HTML-gzip1,0.0,negligible,0.0,0.0,extra-small,FID (ms)
JSON-minify1-gzip0,JSON-minify1-gzip1,0.0,negligible,0.0,0.0,extra-small,FID (ms)
JSON-minify1-gzip0,HTML-gzip0,0.0,negligible,0.0,0.0,extra-small,FID (ms)
JSON-minify1-gzip0,HTML-gzip1,0.0,negligible,0.0,0.0,extra-small,FID (ms)
JSON-minify1-gzip1,HTML-gzip0,0.0,negligible,0.0,0.0,extra-small,FID (ms)
JSON-minify1-gzip1,HTML-gzip1,0.0,negligible,0.0,0.0,extra-small,FID (ms)
HTML-gzip0,HTML-gzip1,0.0,negligible,0.0,0.0,extra-small,FID (ms)
JSON-minify0-gzip0,JSON-minify0-gzip1,0.0,negligible,0.0,0.0,small,FID (ms)
JSON-minify0-gzip0,JSON-minify1-gzip0,0.0,negligible,0.0,0.0,small,FID (ms)
JSON-minify0-gzip0,JSON-minify1-gzip1,0.0,negligible,0.0,0.0,small,FID (ms)
JSON-minify0-gzip0,HTML-gzip0,-1.0,large,-1.0,-1.0,small,FID (ms)
JSON-minify0-gzip0,HTML-gzip1,-1.0,large,-1.0,-1.0,small,FID (ms)
JSON-minify0-gzip1,JSON-minify1-gzip0,0.0,negligible,0.0,0.0,small,FID (ms)
JSON-minify0-gzip1,JSON-minify1-gzip1,0.0,negligible,0.0,0.0,small,FID (ms)
JSON-minify0-gzip1,HTML-gzip0,-1.0,large,-1.0,-1.0,small,FID (ms)
JSON-minify0-gzip1,HTML-gzip1,-1.0,large,-1.0,-1.0,small,FID (ms)
JSON-minify1-gzip0,JSON-minify1-gzip1,0.0,negligible,0.0,0.0,small,FID (ms)
JSON-minify1-gzip0,HTML-gzip0,-1.0,large,-1.0,-1.0,small,FID (ms)
JSON-minify1-gzip0,HTML-gzip1,-1.0,large,-1.0,-1.0,small,FID (ms)
JSON-minify1-gzip1,HTML-gzip0,-1.0,large,-1.0,-1.0,small,FID (ms)
JSON-minify1-gzip1,HTML-gzip1,-1.0,large,-1.0,-1.0,small,FID (ms)
HTML-gzip0,HTML-gzip1,0.10000000000000009,negligible,-0.41000000000000003,0.5900000000000001,small,FID (ms)
JSON-minify0-gzip0,JSON-minify0-gzip1,0.0,negligible,0.0,0.0,medium,FID (ms)
JSON-minify0-gzip0,JSON-minify1-gzip0,0.0,negligible,0.0,0.0,medium,FID (ms)
JSON-minify0-gzip0,JSON-minify1-gzip1,0.0,negligible,0.0,0.0,medium,FID (ms)
JSON-minify0-gzip0,HTML-gzip0,-1.0,large,-1.0,-1.0,medium,FID (ms)
JSON-minify0-gzip0,HTML-gzip1,-1.0,large,-1.0,-1.0,medium,FID (ms)
JSON-minify0-gzip1,JSON-minify1-gzip0,0.0,negligible,0.0,0.0,medium,FID (ms)
JSON-minify0-gzip1,JSON-minify1-gzip1,0.0,negligible,0.0,0.0,medium,FID (ms)
JSON-minify0-gzip1,HTML-gzip0,-1.0,large,-1.0,-1.0,medium,FID (ms)
JSON-minify0-gzip1,HTML-gzip1,-1.0,large,-1.0,-1.0,medium,FID (ms)
JSON-minify1-gzip0,JSON-minify1-gzip1,0.0,negligible,0.0,0.0,medium,FID (ms)
JSON-minify1-gzip0,HTML-gzip0,-1.0,large,-1.0,-1.0,medium,FID (ms)
JSON-minify1-gzip0,HTML-gzip1,-1.0,large,-1.0,-1.0,medium,FID (ms)
JSON-minify1-gzip1,HTML-gzip0,-1.0,large,-1.0,-1.0,medium,FID (ms)
JSON-minify1-gzip1,HTML-gzip1,-1.0,large,-1.0,-1.0,medium,FID (ms)
HTML-gzip0,HTML-gzip1,-0.37,medium,-0.8102499999999998,0.12049999999999965,medium,FID (ms)
JSON-minify0-gzip0,JSON-minify0-gzip1,0.48,large,0.020000000000000018,0.8600000000000001,large,FID (ms)
JSON-minify0-gzip0,JSON-minify1-gzip0,0.3899999999999999,medium,-0.07999999999999996,0.8200000000000001,large,FID (ms)
JSON-minify0-gzip0,JSON-minify1-gzip1,0.8400000000000001,large,0.56,1.0,large,FID (ms)
JSON-minify0-gzip0,HTML-gzip0,1.0,large,1.0,1.0,large,FID (ms)
JSON-minify0-gzip0,HTML-gzip1,1.0,large,1.0,1.0,large,FID (ms)
JSON-minify0-gzip1,JSON-minify1-gzip0,-0.07999999999999996,negligible,-0.6,0.43999999999999995,large,FID (ms)
JSON-minify0-gzip1,JSON-minify1-gzip1,0.49,large,0.010000000000000009,0.8802499999999996,large,FID (ms)
JSON-minify0-gzip1,HTML-gzip0,1.0,large,1.0,1.0,large,FID (ms)
JSON-minify0-gzip1,HTML-gzip1,1.0,large,1.0,1.0,large,FID (ms)
JSON-minify1-gzip0,JSON-minify1-gzip1,0.5,large,0.040000000000000036,0.8799999999999999,large,FID (ms)
JSON-minify1-gzip0,HTML-gzip0,1.0,large,1.0,1.0,large,FID (ms)
JSON-minify1-gzip0,HTML-gzip1,1.0,large,1.0,1.0,large,FID (ms)
JSON-minify1-gzip1,HTML-gzip0,1.0,large,1.0,1.0,large,FID (ms)
JSON-minify1-gzip1,HTML-gzip1,1.0,large,1.0,1.0,large,FID (ms)
HTML-gzip0,HTML-gzip1,-0.36,medium,-0.79,0.17999999999999994,large,FID (ms)
JSON-minify0-gzip0,JSON-minify0-gzip1,0.1299999999999999,negligible,-0.43999999999999995,0.6102499999999998,extra-large,FID (ms)
JSON-minify0-gzip0,JSON-minify1-gzip0,0.15999999999999992,small,-0.37,0.6599999999999999,extra-large,FID (ms)
JSON-minify0-gzip0,JSON-minify1-gzip1,-0.19999999999999996,small,-0.6799999999999999,0.3400000000000001,extra-large,FID (ms)
JSON-minify0-gzip0,HTML-gzip0,1.0,large,1.0,1.0,extra-large,FID (ms)
JSON-minify0-gzip0,HTML-gzip1,1.0,large,1.0,1.0,extra-large,FID (ms)
JSON-minify0-gzip1,JSON-minify1-gzip0,0.0,negligible,-0.5302499999999998,0.55,extra-large,FID (ms)
JSON-minify0-gzip1,JSON-minify1-gzip1,-0.52,large,-0.9004999999999995,-0.040000000000000036,extra-large,FID (ms)
JSON-minify0-gzip1,HTML-gzip0,1.0,large,1.0,1.0,extra-large,FID (ms)
JSON-minify0-gzip1,HTML-gzip1,1.0,large,1.0,1.0,extra-large,FID (ms)
JSON-minify1-gzip0,JSON-minify1-gzip1,-0.33999999999999997,medium,-0.8,0.19999999999999996,extra-large,FID (ms)
JSON-minify1-gzip0,HTML-gzip0,1.0,large,1.0,1.0,extra-large,FID (ms)
JSON-minify1-gzip0,HTML-gzip1,1.0,large,1.0,1.0,extra-large,FID (ms)
JSON-minify1-gzip1,HTML-gzip0,1.0,large,1.0,1.0,extra-large,FID (ms)
JSON-minify1-gzip1,HTML-gzip1,1.0,large,1.0,1.0,extra-large,FID (ms)
HTML-gzip0,HTML-gzip1,0.32000000000000006,small,-0.24,0.78,extra-large,FID (ms)
