group1,group2,statistic,pvalue,pvalue_adjusted,significant,size,metric
JSON-minify0-gzip0,JSON-minify0-gzip1,50.0,1.0,1.0,False,extra-small,FID (ms)
JSON-minify0-gzip0,JSON-minify1-gzip0,50.0,1.0,1.0,False,extra-small,FID (ms)
JSON-minify0-gzip0,JSON-minify1-gzip1,50.0,1.0,1.0,False,extra-small,FID (ms)
JSON-minify0-gzip0,HTML-gzip0,50.0,1.0,1.0,False,extra-small,FID (ms)
JSON-minify0-gzip0,HTML-gzip1,50.0,1.0,1.0,False,extra-small,FID (ms)
JSON-minify0-gzip1,JSON-minify1-gzip0,50.0,1.0,1.0,False,extra-small,FID (ms)
JSON-minify0-gzip1,JSON-minify1-gzip1,50.0,1.0,1.0,False,extra-small,FID (ms)
JSON-minify0-gzip1,HTML-gzip0,50.0,1.0,1.0,False,extra-small,FID (ms)
JSON-minify0-gzip1,HTML-gzip1,50.0,1.0,1.0,False,extra-small,FID (ms)
JSON-minify1-gzip0,JSON-minify1-gzip1,50.0,1.0,1.0,False,extra-small,FID (ms)
JSON-minify1-gzip0,HTML-gzip0,50.0,1.0,1.0,False,extra-small,FID (ms)
JSON-minify1-gzip0,HTML-gzip1,50.0,1.0,1.0,False,extra-small,FID (ms)
JSON-minify1-gzip1,HTML-gzip0,50.0,1.0,1.0,False,extra-small,FID (ms)
JSON-minify1-gzip1,HTML-gzip1,50.0,1.0,1.0,False,extra-small,FID (ms)
HTML-gzip0,HTML-gzip1,50.0,1.0,1.0,False,extra-small,FID (ms)
JSON-minify0-gzip0,JSON-minify0-gzip1,50.0,1.0,1.0,False,small,FID (ms)
JSON-minify0-gzip0,JSON-minify1-gzip0,50.0,1.0,1.0,False,small,FID (ms)
JSON-minify0-gzip0,JSON-minify1-gzip1,50.0,1.0,1.0,False,small,FID (ms)
JSON-minify0-gzip0,HTML-gzip0,0.0,6.294387081562153e-05,0.0009441580622343229,True,small,FID (ms)
JSON-minify0-gzip0,HTML-gzip1,0.0,6.340287417294023e-05,0.0009441580622343229,True,small,FID (ms)
JSON-minify0-gzip1,JSON-minify1-gzip0,50.0,1.0,1.0,False,small,FID (ms)
JSON-minify0-gzip1,JSON-minify1-gzip1,50.0,1.0,1.0,False,small,FID (ms)
JSON-minify0-gzip1,HTML-gzip0,0.0,6.294387081562153e-05,0.0009441580622343229,True,small,FID (ms)
JSON-minify0-gzip1,HTML-gzip1,0.0,6.340287417294023e-05,0.0009441580622343229,True,small,FID (ms)
JSON-minify1-gzip0,JSON-minify1-gzip1,50.0,1.0,1.0,False,small,FID (ms)
JSON-minify1-gzip0,HTML-gzip0,0.0,6.294387081562153e-05,0.0009441580622343229,True,small,FID (ms)
JSON-minify1-gzip0,HTML-gzip1,0.0,6.340287417294023e-05,0.0009441580622343229,True,small,FID (ms)
JSON-minify1-gzip1,HTML-gzip0,0.0,6.294387081562153e-05,0.0009441580622343229,True,small,FID (ms)
JSON-minify1-gzip1,HTML-gzip1,0.0,6.340287417294023e-05,0.0009441580622343229,True,small,FID (ms)
HTML-gzip0,HTML-gzip1,55.0,0.7319794999578391,1.0,False,small,FID (ms)
JSON-minify0-gzip0,JSON-minify0-gzip1,50.0,1.0,1.0,False,medium,FID (ms)
