group1,group2,statistic,pvalue,pvalue_adjusted,significant,size,metric
JSON-minify0-gzip0,JSON-minify0-gzip1,49.0,0.9698499769931556,1.0,False,extra-small,JS Heap Used Size (Kb)
JSON-minify0-gzip0,JSON-minify1-gzip0,34.0,0.24132159301718004,1.0,False,extra-small,JS Heap Used Size (Kb)
JSON-minify0-gzip0,JSON-minify1-gzip1,65.0,0.27303633975118835,1.0,False,extra-small,JS Heap Used Size (Kb)
JSON-minify0-gzip0,HTML-gzip0,71.0,0.12122450301291661,1.0,False,extra-small,JS Heap Used Size (Kb)
JSON-minify0-gzip0,HTML-gzip1,60.0,0.47267559351158717,1.0,False,extra-small,JS Heap Used Size (Kb)
JSON-minify0-gzip1,JSON-minify1-gzip0,39.0,0.4273553138978077,1.0,False,extra-small,JS Heap Used Size (Kb)
JSON-minify0-gzip1,JSON-minify1-gzip1,67.0,0.21229383619233166,1.0,False,extra-small,JS Heap Used Size (Kb)
JSON-minify0-gzip1,HTML-gzip0,80.0,0.025748080821108073,0.360473131495513,False,extra-small,JS Heap Used Size (Kb)
JSON-minify0-gzip1,HTML-gzip1,65.0,0.27303633975118835,1.0,False,extra-small,JS Heap Used Size (Kb)
JSON-minify1-gzip0,JSON-minify1-gzip1,79.0,0.031209012771740218,0.4057171660326228,False,extra-small,JS Heap Used Size (Kb)
JSON-minify1-gzip0,HTML-gzip0,87.0,0.00579535854433471,0.08693037816502064,False,extra-small,JS Heap Used Size (Kb)
JSON-minify1-gzip0,HTML-gzip1,73.0,0.08897301170181328,1.0,False,extra-small,JS Heap Used Size (Kb)
JSON-minify1-gzip1,HTML-gzip0,57.0,0.6231762238821174,1.0,False,extra-small,JS Heap Used Size (Kb)
JSON-minify1-gzip1,HTML-gzip1,44.0,0.6775849579524755,1.0,False,extra-small,JS Heap Used Size (Kb)
HTML-gzip0,HTML-gzip1,38.0,0.3846730627355087,1.0,False,extra-small,JS Heap Used Size (Kb)
JSON-minify0-gzip0,JSON-minify0-gzip1,68.0,0.18587673236587599,1.0,False,small,JS Heap Used Size (Kb)
JSON-minify0-gzip0,JSON-minify1-gzip0,64.0,0.3074894566186813,1.0,False,small,JS Heap Used Size (Kb)
JSON-minify0-gzip0,JSON-minify1-gzip1,70.0,0.14046504815835498,1.0,False,small,JS Heap Used Size (Kb)
JSON-minify0-gzip0,HTML-gzip0,42.0,0.5707503880581739,1.0,False,small,JS Heap Used Size (Kb)
JSON-minify0-gzip0,HTML-gzip1,55.0,0.7337299956962472,1.0,False,small,JS Heap Used Size (Kb)
JSON-minify0-gzip1,JSON-minify1-gzip0,51.0,0.9698499769931556,1.0,False,small,JS Heap Used Size (Kb)
JSON-minify0-gzip1,JSON-minify1-gzip1,59.0,0.5205228832757727,1.0,False,small,JS Heap Used Size (Kb)
JSON-minify0-gzip1,HTML-gzip0,15.0,0.009108496398030965,0.13662744597046447,False,small,JS Heap Used Size (Kb)
JSON-minify0-gzip1,HTML-gzip1,33.0,0.21229383619233166,1.0,False,small,JS Heap Used Size (Kb)
JSON-minify1-gzip0,JSON-minify1-gzip1,53.0,0.8501067391385259,1.0,False,small,JS Heap Used Size (Kb)
JSON-minify1-gzip0,HTML-gzip0,22.0,0.03763531378731424,0.4892590792350851,False,small,JS Heap Used Size (Kb)
JSON-minify1-gzip0,HTML-gzip1,38.0,0.3846730627355087,1.0,False,small,JS Heap Used Size (Kb)
JSON-minify1-gzip1,HTML-gzip0,17.0,0.014019277113959951,0.19626987959543932,False,small,JS Heap Used Size (Kb)
JSON-minify1-gzip1,HTML-gzip1,32.0,0.18587673236587599,1.0,False,small,JS Heap Used Size (Kb)
HTML-gzip0,HTML-gzip1,72.0,0.10410988966022681,1.0,False,small,JS Heap Used Size (Kb)
JSON-minify0-gzip0,JSON-minify0-gzip1,51.0,0.9698499769931556,1.0,False,medium,JS Heap Used Size (Kb)
JSON-minify0-gzip0,JSON-minify1-gzip0,60.0,0.47267559351158717,1.0,False,medium,JS Heap Used Size (Kb)
JSON-minify0-gzip0,JSON-minify1-gzip1,58.0,0.5707503880581739,1.0,False,medium,JS Heap Used Size (Kb)
JSON-minify0-gzip0,HTML-gzip0,49.0,0.9698499769931556,1.0,False,medium,JS Heap Used Size (Kb)
JSON-minify0-gzip0,HTML-gzip1,57.0,0.6231762238821174,1.0,False,medium,JS Heap Used Size (Kb)
JSON-minify0-gzip1,JSON-minify1-gzip0,63.0,0.3447042220069576,1.0,False,medium,JS Heap Used Size (Kb)
JSON-minify0-gzip1,JSON-minify1-gzip1,55.0,0.7337299956962472,1.0,False,medium,JS Heap Used Size (Kb)
JSON-minify0-gzip1,HTML-gzip0,58.0,0.5707503880581739,1.0,False,medium,JS Heap Used Size (Kb)
JSON-minify0-gzip1,HTML-gzip1,57.0,0.6231762238821174,1.0,False,medium,JS Heap Used Size (Kb)
JSON-minify1-gzip0,JSON-minify1-gzip1,36.0,0.3074894566186813,1.0,False,medium,JS Heap Used Size (Kb)
JSON-minify1-gzip0,HTML-gzip0,57.0,0.6231762238821174,1.0,False,medium,JS Heap Used Size (Kb)
JSON-minify1-gzip0,HTML-gzip1,43.0,0.6231762238821174,1.0,False,medium,JS Heap Used Size (Kb)
JSON-minify1-gzip1,HTML-gzip0,59.0,0.5205228832757727,1.0,False,medium,JS Heap Used Size (Kb)
JSON-minify1-gzip1,HTML-gzip1,57.0,0.6231762238821174,1.0,False,medium,JS Heap Used Size (Kb)
HTML-gzip0,HTML-gzip1,40.0,0.47267559351158717,1.0,False,medium,JS Heap Used Size (Kb)
JSON-minify0-gzip0,JSON-minify0-gzip1,69.0,0.161972410480126,0.7023252407917748,False,large,JS Heap Used Size (Kb)
JSON-minify0-gzip0,JSON-minify1-gzip0,52.0,0.9097218891455553,0.9453511870231743,False,large,JS Heap Used Size (Kb)
JSON-minify0-gzip0,JSON-minify1-gzip1,60.0,0.47267559351158717,0.9453511870231743,False,large,JS Heap Used Size (Kb)
JSON-minify0-gzip0,HTML-gzip0,100.0,0.00018267179110955002,0.0027400768666432504,True,large,JS Heap Used Size (Kb)
JSON-minify0-gzip0,HTML-gzip1,80.0,0.025748080821108073,0.2574808082110807,False,large,JS Heap Used Size (Kb)
JSON-minify0-gzip1,JSON-minify1-gzip0,15.0,0.009108496398030965,0.1001934603783406,False,large,JS Heap Used Size (Kb)
JSON-minify0-gzip1,JSON-minify1-gzip1,30.0,0.14046504815835498,0.7023252407917748,False,large,JS Heap Used Size (Kb)
JSON-minify0-gzip1,HTML-gzip0,93.0,0.0013149446697132139,0.015779336036558567,True,large,JS Heap Used Size (Kb)
JSON-minify0-gzip1,HTML-gzip1,75.0,0.06402210128302689,0.3841326076981614,False,large,JS Heap Used Size (Kb)
JSON-minify1-gzip0,JSON-minify1-gzip1,78.0,0.03763531378731424,0.2634471965111997,False,large,JS Heap Used Size (Kb)
JSON-minify1-gzip0,HTML-gzip0,100.0,0.00018267179110955002,0.0027400768666432504,True,large,JS Heap Used Size (Kb)
JSON-minify1-gzip0,HTML-gzip1,80.0,0.025748080821108073,0.2574808082110807,False,large,JS Heap Used Size (Kb)
JSON-minify1-gzip1,HTML-gzip0,99.0,0.0002461281279052297,0.003199665662767986,True,large,JS Heap Used Size (Kb)
JSON-minify1-gzip1,HTML-gzip1,79.0,0.031209012771740218,0.2574808082110807,False,large,JS Heap Used Size (Kb)
HTML-gzip0,HTML-gzip1,34.0,0.24132159301718004,0.7239647790515401,False,large,JS Heap Used Size (Kb)
JSON-minify0-gzip0,JSON-minify0-gzip1,62.0,0.3846730627355087,1.0,False,extra-large,JS Heap Used Size (Kb)
JSON-minify0-gzip0,JSON-minify1-gzip0,83.0,0.014019277113959951,0.08411566268375971,False,extra-large,JS Heap Used Size (Kb)
JSON-minify0-gzip0,JSON-minify1-gzip1,68.0,0.18587673236587599,0.7435069294635039,False,extra-large,JS Heap Used Size (Kb)
JSON-minify0-gzip0,HTML-gzip0,99.0,0.0002461281279052297,0.0027400768666432504,True,extra-large,JS Heap Used Size (Kb)
JSON-minify0-gzip0,HTML-gzip1,98.0,0.0003298385207779935,0.0027400768666432504,True,extra-large,JS Heap Used Size (Kb)
JSON-minify0-gzip1,JSON-minify1-gzip0,97.0,0.00043963875262656465,0.0030774712683859524,True,extra-large,JS Heap Used Size (Kb)
JSON-minify0-gzip1,JSON-minify1-gzip1,59.0,0.5205228832757727,1.0,False,extra-large,JS Heap Used Size (Kb)
JSON-minify0-gzip1,HTML-gzip0,100.0,0.00018267179110955002,0.0027400768666432504,True,extra-large,JS Heap Used Size (Kb)
JSON-minify0-gzip1,HTML-gzip1,100.0,0.00018267179110955002,0.0027400768666432504,True,extra-large,JS Heap Used Size (Kb)
JSON-minify1-gzip0,JSON-minify1-gzip1,25.0,0.06402210128302689,0.32011050641513444,False,extra-large,JS Heap Used Size (Kb)
JSON-minify1-gzip0,HTML-gzip0,100.0,0.00018267179110955002,0.0027400768666432504,True,extra-large,JS Heap Used Size (Kb)
JSON-minify1-gzip0,HTML-gzip1,100.0,0.00018267179110955002,0.0027400768666432504,True,extra-large,JS Heap Used Size (Kb)
JSON-minify1-gzip1,HTML-gzip0,99.0,0.0002461281279052297,0.0027400768666432504,True,extra-large,JS Heap Used Size (Kb)
JSON-minify1-gzip1,HTML-gzip1,100.0,0.00018267179110955002,0.0027400768666432504,True,extra-large,JS Heap Used Size (Kb)
HTML-gzip0,HTML-gzip1,47.0,0.8501067391385259,1.0,False,extra-large,JS Heap Used Size (Kb)
