group1,group2,statistic,pvalue,pvalue_adjusted,significant,size,metric
JSON-minify0-gzip0,JSON-minify0-gzip1,16.0,0.008297003846461226,0.05807902692522859,False,extra-small,Score
JSON-minify0-gzip0,JSON-minify1-gzip0,46.0,0.7827931093040513,1.0,False,extra-small,Score
JSON-minify0-gzip0,JSON-minify1-gzip1,9.0,0.0010552820883664843,0.013131808277166696,True,extra-small,Score
JSON-minify0-gzip0,HTML-gzip0,90.0,0.00117389015415941,0.013131808277166696,True,extra-small,Score
JSON-minify0-gzip0,HTML-gzip1,90.0,0.00117389015415941,0.013131808277166696,True,extra-small,Score
JSON-minify0-gzip1,JSON-minify1-gzip0,59.0,0.5131453135503066,1.0,False,extra-small,Score
JSON-minify0-gzip1,JSON-minify1-gzip1,23.5,0.03290767946832672,0.19744607680996032,False,extra-small,Score
JSON-minify0-gzip1,HTML-gzip0,100.0,7.521176571182513e-05,0.001128176485677377,True,extra-small,Score
JSON-minify0-gzip1,HTML-gzip1,100.0,7.521176571182513e-05,0.001128176485677377,True,extra-small,Score
JSON-minify1-gzip0,JSON-minify1-gzip1,13.0,0.004040802987657796,0.03232642390126237,True,extra-small,Score
JSON-minify1-gzip0,HTML-gzip0,71.0,0.08693761127852609,0.4346880563926304,False,extra-small,Score
JSON-minify1-gzip0,HTML-gzip1,71.0,0.08693761127852609,0.4346880563926304,False,extra-small,Score
JSON-minify1-gzip1,HTML-gzip0,90.5,0.001010139098243592,0.013131808277166696,True,extra-small,Score
JSON-minify1-gzip1,HTML-gzip1,90.5,0.001010139098243592,0.013131808277166696,True,extra-small,Score
HTML-gzip0,HTML-gzip1,50.0,1.0,1.0,False,extra-small,Score
JSON-minify0-gzip0,JSON-minify0-gzip1,0.0,1.593791168806624e-05,0.00023906867532099362,True,small,Score
JSON-minify0-gzip0,JSON-minify1-gzip0,0.0,1.593791168806624e-05,0.00023906867532099362,True,small,Score
JSON-minify0-gzip0,JSON-minify1-gzip1,0.0,1.593791168806624e-05,0.00023906867532099362,True,small,Score
JSON-minify0-gzip0,HTML-gzip0,100.0,4.040224543100723e-05,0.0002828157180170506,True,small,Score
JSON-minify0-gzip0,HTML-gzip1,0.0,2.4281747324754767e-05,0.00024281747324754767,True,small,Score
JSON-minify0-gzip1,JSON-minify1-gzip0,100.0,1.593791168806624e-05,0.00023906867532099362,True,small,Score
JSON-minify0-gzip1,JSON-minify1-gzip1,50.0,1.0,1.0,False,small,Score
JSON-minify0-gzip1,HTML-gzip0,100.0,4.040224543100723e-05,0.0002828157180170506,True,small,Score
JSON-minify0-gzip1,HTML-gzip1,100.0,2.4281747324754767e-05,0.00024281747324754767,True,small,Score
JSON-minify1-gzip0,JSON-minify1-gzip1,0.0,1.593791168806624e-05,0.00023906867532099362,True,small,Score
JSON-minify1-gzip0,HTML-gzip0,100.0,4.040224543100723e-05,0.0002828157180170506,True,small,Score
JSON-minify1-gzip0,HTML-gzip1,55.0,0.36812025069351895,0.7362405013870379,False,small,Score
JSON-minify1-gzip1,HTML-gzip0,100.0,4.040224543100723e-05,0.0002828157180170506,True,small,Score
JSON-minify1-gzip1,HTML-gzip1,100.0,2.4281747324754767e-05,0.00024281747324754767,True,small,Score
HTML-gzip0,HTML-gzip1,0.0,5.7206424368336445e-05,0.0002828157180170506,True,small,Score
JSON-minify0-gzip0,JSON-minify0-gzip1,0.0,1.593791168806624e-05,0.00023906867532099362,True,medium,Score
JSON-minify0-gzip0,JSON-minify1-gzip0,50.0,1.0,1.0,False,medium,Score
JSON-minify0-gzip0,JSON-minify1-gzip1,0.0,1.593791168806624e-05,0.00023906867532099362,True,medium,Score
JSON-minify0-gzip0,HTML-gzip0,100.0,5.109725334683688e-05,0.00048425399337141553,True,medium,Score
JSON-minify0-gzip0,HTML-gzip1,40.0,0.435516406550444,1.0,False,medium,Score
JSON-minify0-gzip1,JSON-minify1-gzip0,100.0,1.593791168806624e-05,0.00023906867532099362,True,medium,Score
JSON-minify0-gzip1,JSON-minify1-gzip1,0.0,1.593791168806624e-05,0.00023906867532099362,True,medium,Score
JSON-minify0-gzip1,HTML-gzip0,100.0,5.109725334683688e-05,0.00048425399337141553,True,medium,Score
JSON-minify0-gzip1,HTML-gzip1,100.0,4.842539933714155e-05,0.00048425399337141553,True,medium,Score
JSON-minify1-gzip0,JSON-minify1-gzip1,0.0,1.593791168806624e-05,0.00023906867532099362,True,medium,Score
JSON-minify1-gzip0,HTML-gzip0,100.0,5.109725334683688e-05,0.00048425399337141553,True,medium,Score
JSON-minify1-gzip0,HTML-gzip1,40.0,0.435516406550444,1.0,False,medium,Score
JSON-minify1-gzip1,HTML-gzip0,100.0,5.109725334683688e-05,0.00048425399337141553,True,medium,Score
JSON-minify1-gzip1,HTML-gzip1,100.0,4.842539933714155e-05,0.00048425399337141553,True,medium,Score
HTML-gzip0,HTML-gzip1,0.0,0.0001231269731962501,0.0004925078927850004,True,medium,Score
JSON-minify0-gzip0,JSON-minify0-gzip1,3.5,0.0002605452324004709,0.0008189036682050522,True,large,Score
JSON-minify0-gzip0,JSON-minify1-gzip0,0.0,9.103629262430863e-05,0.0008189036682050522,True,large,Score
JSON-minify0-gzip0,JSON-minify1-gzip1,0.0,5.8493119157503726e-05,0.0008189036682050522,True,large,Score
JSON-minify0-gzip0,HTML-gzip0,100.0,0.00011279668284011505,0.0008189036682050522,True,large,Score
JSON-minify0-gzip0,HTML-gzip1,99.0,0.00010271357478639797,0.0008189036682050522,True,large,Score
JSON-minify0-gzip1,JSON-minify1-gzip0,54.0,0.7537408059782897,0.7537408059782897,False,large,Score
JSON-minify0-gzip1,JSON-minify1-gzip1,0.0,6.668838573092997e-05,0.0008189036682050522,True,large,Score
JSON-minify0-gzip1,HTML-gzip0,100.0,0.00012620486872959126,0.0008189036682050522,True,large,Score
JSON-minify0-gzip1,HTML-gzip1,100.0,8.511932002400032e-05,0.0008189036682050522,True,large,Score
JSON-minify1-gzip0,JSON-minify1-gzip1,0.0,5.8493119157503726e-05,0.0008189036682050522,True,large,Score
