group,mean,median,std,q25,q75,iqr,min,max,n,mean_std,median_iqr
extra-small-JSON-minify0-gzip0,16.0,16.0,0.0,16.0,16.0,0.0,16.0,16.0,10,16.000 ± 0.000,"16.000 [16.000, 16.000]"
extra-small-JSON-minify0-gzip1,16.0,16.0,0.0,16.0,16.0,0.0,16.0,16.0,10,16.000 ± 0.000,"16.000 [16.000, 16.000]"
extra-small-JSON-minify1-gzip0,16.0,16.0,0.0,16.0,16.0,0.0,16.0,16.0,10,16.000 ± 0.000,"16.000 [16.000, 16.000]"
extra-small-JSON-minify1-gzip1,16.0,16.0,0.0,16.0,16.0,0.0,16.0,16.0,10,16.000 ± 0.000,"16.000 [16.000, 16.000]"
extra-small-HTML-gzip0,16.0,16.0,0.0,16.0,16.0,0.0,16.0,16.0,10,16.000 ± 0.000,"16.000 [16.000, 16.000]"
extra-small-HTML-gzip1,16.0,16.0,0.0,16.0,16.0,0.0,16.0,16.0,10,16.000 ± 0.000,"16.000 [16.000, 16.000]"
small-JSON-minify0-gzip0,16.0,16.0,0.0,16.0,16.0,0.0,16.0,16.0,10,16.000 ± 0.000,"16.000 [16.000, 16.000]"
small-JSON-minify0-gzip1,16.0,16.0,0.0,16.0,16.0,0.0,16.0,16.0,10,16.000 ± 0.000,"16.000 [16.000, 16.000]"
small-JSON-minify1-gzip0,16.0,16.0,0.0,16.0,16.0,0.0,16.0,16.0,10,16.000 ± 0.000,"16.000 [16.000, 16.000]"
small-JSON-minify1-gzip1,16.0,16.0,0.0,16.0,16.0,0.0,16.0,16.0,10,16.000 ± 0.000,"16.000 [16.000, 16.000]"
small-HTML-gzip0,48.8,49.5,5.793099343184095,48.25,51.5,3.25,36.0,58.0,10,48.800 ± 5.793,"49.500 [48.250, 51.500]"
small-HTML-gzip1,47.5,49.5,5.2583267300539625,45.0,50.75,5.75,36.0,54.0,10,47.500 ± 5.258,"49.500 [45.000, 50.750]"
medium-JSON-minify0-gzip0,16.0,16.0,0.0,16.0,16.0,0.0,16.0,16.0,10,16.000 ± 0.000,"16.000 [16.000, 16.000]"
medium-JSON-minify0-gzip1,16.0,16.0,0.0,16.0,16.0,0.0,16.0,16.0,10,16.000 ± 0.000,"16.000 [16.000, 16.000]"
medium-JSON-minify1-gzip0,16.0,16.0,0.0,16.0,16.0,0.0,16.0,16.0,10,16.000 ± 0.000,"16.000 [16.000, 16.000]"
medium-JSON-minify1-gzip1,16.0,16.0,0.0,16.0,16.0,0.0,16.0,16.0,10,16.000 ± 0.000,"16.000 [16.000, 16.000]"
medium-HTML-gzip0,194.3,193.0,7.156116265125938,188.25,196.25,8.0,187.0,210.0,10,194.300 ± 7.156,"193.000 [188.250, 196.250]"
medium-HTML-gzip1,201.4,200.5,10.772186407596186,192.5,210.25,17.75,185.0,218.0,10,201.400 ± 10.772,"200.500 [192.500, 210.250]"
large-JSON-minify0-gzip0,544.7,541.0,9.581753492967767,538.25,548.5,10.25,533.0,563.0,10,544.700 ± 9.582,"541.000 [538.250, 548.500]"
large-JSON-minify0-gzip1,537.1,535.0,6.187891401761993,532.25,541.25,9.0,530.0,550.0,10,537.100 ± 6.188,"535.000 [532.250, 541.250]"
large-JSON-minify1-gzip0,538.3,535.5,7.616429609731846,532.5,544.75,12.25,528.0,551.0,10,538.300 ± 7.616,"535.500 [532.500, 544.750]"
large-JSON-minify1-gzip1,532.2,532.0,4.749736834815167,529.25,532.75,3.5,526.0,544.0,10,532.200 ± 4.750,"532.000 [529.250, 532.750]"
large-HTML-gzip0,185.4,195.5,28.171616922001476,192.25,203.5,11.25,127.0,206.0,10,185.400 ± 28.172,"195.500 [192.250, 203.500]"
large-HTML-gzip1,201.4,202.0,4.294182110716777,198.0,204.5,6.5,194.0,208.0,10,201.400 ± 4.294,"202.000 [198.000, 204.500]"
extra-large-JSON-minify0-gzip0,826.6,820.0000000000001,12.018319350058926,818.25,834.5,16.25,816.0,852.0000000000002,10,826.600 ± 12.018,"820.000 [818.250, 834.500]"
extra-large-JSON-minify0-gzip1,821.5,822.0,7.553145040312604,815.25,827.7499999999998,12.499999999999773,809.0000000000002,833.0,10,821.500 ± 7.553,"822.000 [815.250, 827.750]"
extra-large-JSON-minify1-gzip0,825.0,821.5000000000001,15.34275073120855,813.0,830.75,17.75,805.9999999999998,855.0000000000002,10,825.000 ± 15.343,"821.500 [813.000, 830.750]"
extra-large-JSON-minify1-gzip1,837.55,832.9999999999999,26.812730185492217,822.875,838.2500000000002,15.375000000000227,811.9999999999998,913.0000000000002,10,837.550 ± 26.813,"833.000 [822.875, 838.250]"
extra-large-HTML-gzip0,390.1,375.5,41.69760184950689,370.0,379.75,9.75,362.0,510.0,10,390.100 ± 41.698,"375.500 [370.000, 379.750]"
extra-large-HTML-gzip1,403.6,364.5,77.6121124567551,357.0,394.0,37.0,352.0,559.0,10,403.600 ± 77.612,"364.500 [357.000, 394.000]"
