group1,group2,delta,interpretation,ci_lower,ci_upper,size,metric
JSON-minify0-gzip0,JSON-minify0-gzip1,-0.75,large,-1.0,-0.42000000000000004,extra-small,CLS (s)
JSON-minify0-gzip0,JSON-minify1-gzip0,-0.43000000000000005,medium,-0.8200000000000001,0.0,extra-small,CLS (s)
JSON-minify0-gzip0,JSON-minify1-gzip1,0.050000000000000044,negligible,-0.35,0.43999999999999995,extra-small,CLS (s)
JSON-minify0-gzip0,HTML-gzip0,-1.0,large,-1.0,-1.0,extra-small,CLS (s)
JSON-minify0-gzip0,HTML-gzip1,-1.0,large,-1.0,-1.0,extra-small,CLS (s)
JSON-minify0-gzip1,JSON-minify1-gzip0,0.050000000000000044,negligible,-0.52,0.6000000000000001,extra-small,CLS (s)
JSON-minify0-gzip1,JSON-minify1-gzip1,0.6100000000000001,large,0.1499999999999999,1.0,extra-small,CLS (s)
JSON-minify0-gzip1,HTML-gzip0,-1.0,large,-1.0,-1.0,extra-small,CLS (s)
JSON-minify0-gzip1,HTML-gzip1,-1.0,large,-1.0,-1.0,extra-small,CLS (s)
JSON-minify1-gzip0,JSON-minify1-gzip1,0.3999999999999999,medium,0.0,0.77,extra-small,CLS (s)
JSON-minify1-gzip0,HTML-gzip0,-0.94,large,-1.0,-0.76,extra-small,CLS (s)
JSON-minify1-gzip0,HTML-gzip1,-0.94,large,-1.0,-0.79,extra-small,CLS (s)
JSON-minify1-gzip1,HTML-gzip0,-1.0,large,-1.0,-1.0,extra-small,CLS (s)
JSON-minify1-gzip1,HTML-gzip1,-1.0,large,-1.0,-1.0,extra-small,CLS (s)
HTML-gzip0,HTML-gzip1,0.0,negligible,-0.43999999999999995,0.4602499999999997,extra-small,CLS (s)
JSON-minify0-gzip0,JSON-minify0-gzip1,0.0,negligible,0.0,0.0,small,CLS (s)
JSON-minify0-gzip0,JSON-minify1-gzip0,0.0,negligible,0.0,0.0,small,CLS (s)
JSON-minify0-gzip0,JSON-minify1-gzip1,0.0,negligible,0.0,0.0,small,CLS (s)
JSON-minify0-gzip0,HTML-gzip0,-1.0,large,-1.0,-1.0,small,CLS (s)
JSON-minify0-gzip0,HTML-gzip1,-1.0,large,-1.0,-1.0,small,CLS (s)
JSON-minify0-gzip1,JSON-minify1-gzip0,0.0,negligible,0.0,0.0,small,CLS (s)
JSON-minify0-gzip1,JSON-minify1-gzip1,0.0,negligible,0.0,0.0,small,CLS (s)
JSON-minify0-gzip1,HTML-gzip0,-1.0,large,-1.0,-1.0,small,CLS (s)
JSON-minify0-gzip1,HTML-gzip1,-1.0,large,-1.0,-1.0,small,CLS (s)
JSON-minify1-gzip0,JSON-minify1-gzip1,0.0,negligible,0.0,0.0,small,CLS (s)
JSON-minify1-gzip0,HTML-gzip0,-1.0,large,-1.0,-1.0,small,CLS (s)
JSON-minify1-gzip0,HTML-gzip1,-1.0,large,-1.0,-1.0,small,CLS (s)
JSON-minify1-gzip1,HTML-gzip0,-1.0,large,-1.0,-1.0,small,CLS (s)
JSON-minify1-gzip1,HTML-gzip1,-1.0,large,-1.0,-1.0,small,CLS (s)
HTML-gzip0,HTML-gzip1,0.040000000000000036,negligible,-0.3204999999999995,0.44999999999999996,small,CLS (s)
JSON-minify0-gzip0,JSON-minify0-gzip1,0.0,negligible,0.0,0.0,medium,CLS (s)
JSON-minify0-gzip0,JSON-minify1-gzip0,0.0,negligible,0.0,0.0,medium,CLS (s)
JSON-minify0-gzip0,JSON-minify1-gzip1,0.0,negligible,0.0,0.0,medium,CLS (s)
JSON-minify0-gzip0,HTML-gzip0,-1.0,large,-1.0,-1.0,medium,CLS (s)
JSON-minify0-gzip0,HTML-gzip1,-1.0,large,-1.0,-1.0,medium,CLS (s)
JSON-minify0-gzip1,JSON-minify1-gzip0,0.0,negligible,0.0,0.0,medium,CLS (s)
JSON-minify0-gzip1,JSON-minify1-gzip1,0.0,negligible,0.0,0.0,medium,CLS (s)
JSON-minify0-gzip1,HTML-gzip0,-1.0,large,-1.0,-1.0,medium,CLS (s)
JSON-minify0-gzip1,HTML-gzip1,-1.0,large,-1.0,-1.0,medium,CLS (s)
JSON-minify1-gzip0,JSON-minify1-gzip1,0.0,negligible,0.0,0.0,medium,CLS (s)
JSON-minify1-gzip0,HTML-gzip0,-1.0,large,-1.0,-1.0,medium,CLS (s)
JSON-minify1-gzip0,HTML-gzip1,-1.0,large,-1.0,-1.0,medium,CLS (s)
JSON-minify1-gzip1,HTML-gzip0,-1.0,large,-1.0,-1.0,medium,CLS (s)
JSON-minify1-gzip1,HTML-gzip1,-1.0,large,-1.0,-1.0,medium,CLS (s)
HTML-gzip0,HTML-gzip1,0.0,negligible,0.0,0.0,medium,CLS (s)
JSON-minify0-gzip0,JSON-minify0-gzip1,0.0,negligible,0.0,0.0,large,CLS (s)
JSON-minify0-gzip0,JSON-minify1-gzip0,0.0,negligible,0.0,0.0,large,CLS (s)
JSON-minify0-gzip0,JSON-minify1-gzip1,0.0,negligible,0.0,0.0,large,CLS (s)
JSON-minify0-gzip0,HTML-gzip0,-1.0,large,-1.0,-1.0,large,CLS (s)
JSON-minify0-gzip0,HTML-gzip1,-1.0,large,-1.0,-1.0,large,CLS (s)
JSON-minify0-gzip1,JSON-minify1-gzip0,0.0,negligible,0.0,0.0,large,CLS (s)
JSON-minify0-gzip1,JSON-minify1-gzip1,0.0,negligible,0.0,0.0,large,CLS (s)
JSON-minify0-gzip1,HTML-gzip0,-1.0,large,-1.0,-1.0,large,CLS (s)
JSON-minify0-gzip1,HTML-gzip1,-1.0,large,-1.0,-1.0,large,CLS (s)
JSON-minify1-gzip0,JSON-minify1-gzip1,0.0,negligible,0.0,0.0,large,CLS (s)
JSON-minify1-gzip0,HTML-gzip0,-1.0,large,-1.0,-1.0,large,CLS (s)
JSON-minify1-gzip0,HTML-gzip1,-1.0,large,-1.0,-1.0,large,CLS (s)
