group1,group2,delta,interpretation,ci_lower,ci_upper,size,metric
JSON-minify0-gzip0,JSON-minify0-gzip1,0.020000000000000018,negligible,-0.52,0.52,extra-small,FCP (s)
JSON-minify0-gzip0,JSON-minify1-gzip0,0.1200000000000001,negligible,-0.43999999999999995,0.6200000000000001,extra-small,FCP (s)
JSON-minify0-gzip0,JSON-minify1-gzip1,-0.24,small,-0.6604999999999994,0.26049999999999957,extra-small,FCP (s)
JSON-minify0-gzip0,HTML-gzip0,1.0,large,1.0,1.0,extra-small,FCP (s)
JSON-minify0-gzip0,HTML-gzip1,1.0,large,1.0,1.0,extra-small,FCP (s)
JSON-minify0-gzip1,JSON-minify1-gzip0,0.10000000000000009,negligible,-0.42000000000000004,0.6204999999999996,extra-small,FCP (s)
JSON-minify0-gzip1,JSON-minify1-gzip1,-0.26,small,-0.7,0.26,extra-small,FCP (s)
JSON-minify0-gzip1,HTML-gzip0,1.0,large,1.0,1.0,extra-small,FCP (s)
JSON-minify0-gzip1,HTML-gzip1,1.0,large,1.0,1.0,extra-small,FCP (s)
JSON-minify1-gzip0,JSON-minify1-gzip1,-0.31999999999999995,small,-0.78,0.19999999999999996,extra-small,FCP (s)
JSON-minify1-gzip0,HTML-gzip0,1.0,large,1.0,1.0,extra-small,FCP (s)
JSON-minify1-gzip0,HTML-gzip1,1.0,large,1.0,1.0,extra-small,FCP (s)
JSON-minify1-gzip1,HTML-gzip0,1.0,large,1.0,1.0,extra-small,FCP (s)
JSON-minify1-gzip1,HTML-gzip1,1.0,large,1.0,1.0,extra-small,FCP (s)
HTML-gzip0,HTML-gzip1,1.0,large,1.0,1.0,extra-small,FCP (s)
JSON-minify0-gzip0,JSON-minify0-gzip1,0.0,negligible,-0.56,0.5,small,FCP (s)
JSON-minify0-gzip0,JSON-minify1-gzip0,0.32000000000000006,small,-0.24,0.7804999999999995,small,FCP (s)
JSON-minify0-gzip0,JSON-minify1-gzip1,0.040000000000000036,negligible,-0.4609999999999991,0.56,small,FCP (s)
JSON-minify0-gzip0,HTML-gzip0,-1.0,large,-1.0,-1.0,small,FCP (s)
JSON-minify0-gzip0,HTML-gzip1,1.0,large,1.0,1.0,small,FCP (s)
JSON-minify0-gzip1,JSON-minify1-gzip0,0.30000000000000004,small,-0.26,0.78,small,FCP (s)
JSON-minify0-gzip1,JSON-minify1-gzip1,0.0,negligible,-0.5,0.56,small,FCP (s)
JSON-minify0-gzip1,HTML-gzip0,-1.0,large,-1.0,-1.0,small,FCP (s)
JSON-minify0-gzip1,HTML-gzip1,1.0,large,1.0,1.0,small,FCP (s)
JSON-minify1-gzip0,JSON-minify1-gzip1,-0.33999999999999997,medium,-0.76,0.19999999999999996,small,FCP (s)
JSON-minify1-gzip0,HTML-gzip0,-1.0,large,-1.0,-1.0,small,FCP (s)
JSON-minify1-gzip0,HTML-gzip1,1.0,large,1.0,1.0,small,FCP (s)
JSON-minify1-gzip1,HTML-gzip0,-1.0,large,-1.0,-1.0,small,FCP (s)
JSON-minify1-gzip1,HTML-gzip1,1.0,large,1.0,1.0,small,FCP (s)
HTML-gzip0,HTML-gzip1,1.0,large,1.0,1.0,small,FCP (s)
JSON-minify0-gzip0,JSON-minify0-gzip1,0.020000000000000018,negligible,-0.5404999999999995,0.56,medium,FCP (s)
JSON-minify0-gzip0,JSON-minify1-gzip0,-0.5800000000000001,large,-1.0,-0.07999999999999996,medium,FCP (s)
JSON-minify0-gzip0,JSON-minify1-gzip1,-0.31999999999999995,small,-0.8204999999999996,0.26,medium,FCP (s)
JSON-minify0-gzip0,HTML-gzip0,-1.0,large,-1.0,-1.0,medium,FCP (s)
JSON-minify0-gzip0,HTML-gzip1,1.0,large,1.0,1.0,medium,FCP (s)
JSON-minify0-gzip1,JSON-minify1-gzip0,-0.64,large,-0.98,-0.21999999999999997,medium,FCP (s)
JSON-minify0-gzip1,JSON-minify1-gzip1,-0.21999999999999997,small,-0.72,0.3600000000000001,medium,FCP (s)
JSON-minify0-gzip1,HTML-gzip0,-1.0,large,-1.0,-1.0,medium,FCP (s)
JSON-minify0-gzip1,HTML-gzip1,1.0,large,1.0,1.0,medium,FCP (s)
JSON-minify1-gzip0,JSON-minify1-gzip1,0.7,large,0.32000000000000006,0.98,medium,FCP (s)
JSON-minify1-gzip0,HTML-gzip0,-1.0,large,-1.0,-1.0,medium,FCP (s)
JSON-minify1-gzip0,HTML-gzip1,1.0,large,1.0,1.0,medium,FCP (s)
JSON-minify1-gzip1,HTML-gzip0,-1.0,large,-1.0,-1.0,medium,FCP (s)
JSON-minify1-gzip1,HTML-gzip1,1.0,large,1.0,1.0,medium,FCP (s)
HTML-gzip0,HTML-gzip1,1.0,large,1.0,1.0,medium,FCP (s)
JSON-minify0-gzip0,JSON-minify0-gzip1,0.15999999999999992,small,-0.31999999999999995,0.6404999999999994,large,FCP (s)
JSON-minify0-gzip0,JSON-minify1-gzip0,-0.06000000000000005,negligible,-0.5800000000000001,0.5,large,FCP (s)
JSON-minify0-gzip0,JSON-minify1-gzip1,0.040000000000000036,negligible,-0.5,0.6000000000000001,large,FCP (s)
JSON-minify0-gzip0,HTML-gzip0,-1.0,large,-1.0,-1.0,large,FCP (s)
JSON-minify0-gzip0,HTML-gzip1,1.0,large,1.0,1.0,large,FCP (s)
JSON-minify0-gzip1,JSON-minify1-gzip0,-0.31999999999999995,small,-0.8,0.2004999999999995,large,FCP (s)
JSON-minify0-gzip1,JSON-minify1-gzip1,-0.19999999999999996,small,-0.6799999999999999,0.3600000000000001,large,FCP (s)
JSON-minify0-gzip1,HTML-gzip0,-1.0,large,-1.0,-1.0,large,FCP (s)
JSON-minify0-gzip1,HTML-gzip1,1.0,large,1.0,1.0,large,FCP (s)
JSON-minify1-gzip0,JSON-minify1-gzip1,0.020000000000000018,negligible,-0.5,0.54,large,FCP (s)
JSON-minify1-gzip0,HTML-gzip0,-1.0,large,-1.0,-1.0,large,FCP (s)
JSON-minify1-gzip0,HTML-gzip1,1.0,large,1.0,1.0,large,FCP (s)
JSON-minify1-gzip1,HTML-gzip0,-1.0,large,-1.0,-1.0,large,FCP (s)
JSON-minify1-gzip1,HTML-gzip1,1.0,large,1.0,1.0,large,FCP (s)
HTML-gzip0,HTML-gzip1,1.0,large,1.0,1.0,large,FCP (s)
