group1,group2,delta,interpretation,ci_lower,ci_upper,size,metric
JSON-minify0-gzip0,JSON-minify0-gzip1,-0.020000000000000018,negligible,-0.5404999999999995,0.5,extra-small,JS Heap Used Size (Kb)
JSON-minify0-gzip0,JSON-minify1-gzip0,-0.31999999999999995,small,-0.76,0.24,extra-small,JS Heap Used Size (Kb)
JSON-minify0-gzip0,JSON-minify1-gzip1,0.30000000000000004,small,-0.21999999999999997,0.78,extra-small,JS Heap Used Size (Kb)
JSON-minify0-gzip0,HTML-gzip0,0.41999999999999993,medium,-0.09999999999999998,0.8600000000000001,extra-small,JS Heap Used Size (Kb)
JSON-minify0-gzip0,HTML-gzip1,0.19999999999999996,small,-0.3404999999999995,0.7,extra-small,JS Heap Used Size (Kb)
JSON-minify0-gzip1,JSON-minify1-gzip0,-0.21999999999999997,small,-0.7,0.3004999999999996,extra-small,JS Heap Used Size (Kb)
JSON-minify0-gzip1,JSON-minify1-gzip1,0.3400000000000001,medium,-0.18000000000000005,0.8,extra-small,JS Heap Used Size (Kb)
JSON-minify0-gzip1,HTML-gzip0,0.6000000000000001,large,0.08000000000000007,0.96,extra-small,JS Heap Used Size (Kb)
JSON-minify0-gzip1,HTML-gzip1,0.30000000000000004,small,-0.21999999999999997,0.7604999999999995,extra-small,JS Heap Used Size (Kb)
JSON-minify1-gzip0,JSON-minify1-gzip1,0.5800000000000001,large,0.15999999999999992,0.9199999999999999,extra-small,JS Heap Used Size (Kb)
JSON-minify1-gzip0,HTML-gzip0,0.74,large,0.3999999999999999,1.0,extra-small,JS Heap Used Size (Kb)
JSON-minify1-gzip0,HTML-gzip1,0.45999999999999996,medium,0.0,0.8200000000000001,extra-small,JS Heap Used Size (Kb)
JSON-minify1-gzip1,HTML-gzip0,0.1399999999999999,negligible,-0.36,0.6200000000000001,extra-small,JS Heap Used Size (Kb)
JSON-minify1-gzip1,HTML-gzip1,-0.12,negligible,-0.6599999999999999,0.3999999999999999,extra-small,JS Heap Used Size (Kb)
HTML-gzip0,HTML-gzip1,-0.24,small,-0.72,0.3600000000000001,extra-small,JS Heap Used Size (Kb)
JSON-minify0-gzip0,JSON-minify0-gzip1,0.3600000000000001,medium,-0.16000000000000003,0.8400000000000001,small,JS Heap Used Size (Kb)
JSON-minify0-gzip0,JSON-minify1-gzip0,0.28,small,-0.28,0.76,small,JS Heap Used Size (Kb)
JSON-minify0-gzip0,JSON-minify1-gzip1,0.3999999999999999,medium,-0.12,0.8600000000000001,small,JS Heap Used Size (Kb)
JSON-minify0-gzip0,HTML-gzip0,-0.16000000000000003,small,-0.7,0.38049999999999945,small,JS Heap Used Size (Kb)
JSON-minify0-gzip0,HTML-gzip1,0.10000000000000009,negligible,-0.4204999999999996,0.6399999999999999,small,JS Heap Used Size (Kb)
JSON-minify0-gzip1,JSON-minify1-gzip0,0.020000000000000018,negligible,-0.56,0.56,small,JS Heap Used Size (Kb)
JSON-minify0-gzip1,JSON-minify1-gzip1,0.17999999999999994,small,-0.4,0.6799999999999999,small,JS Heap Used Size (Kb)
JSON-minify0-gzip1,HTML-gzip0,-0.7,large,-0.98,-0.3195000000000004,small,JS Heap Used Size (Kb)
JSON-minify0-gzip1,HTML-gzip1,-0.33999999999999997,medium,-0.78,0.15999999999999992,small,JS Heap Used Size (Kb)
JSON-minify1-gzip0,JSON-minify1-gzip1,0.06000000000000005,negligible,-0.48049999999999954,0.6000000000000001,small,JS Heap Used Size (Kb)
JSON-minify1-gzip0,HTML-gzip0,-0.56,large,-0.9,-0.12,small,JS Heap Used Size (Kb)
JSON-minify1-gzip0,HTML-gzip1,-0.24,small,-0.7204999999999995,0.2804999999999996,small,JS Heap Used Size (Kb)
JSON-minify1-gzip1,HTML-gzip0,-0.6599999999999999,large,-0.96,-0.23950000000000043,small,JS Heap Used Size (Kb)
JSON-minify1-gzip1,HTML-gzip1,-0.36,medium,-0.8,0.1804999999999995,small,JS Heap Used Size (Kb)
HTML-gzip0,HTML-gzip1,0.43999999999999995,medium,-0.07999999999999996,0.8600000000000001,small,JS Heap Used Size (Kb)
JSON-minify0-gzip0,JSON-minify0-gzip1,0.020000000000000018,negligible,-0.48,0.54,medium,JS Heap Used Size (Kb)
JSON-minify0-gzip0,JSON-minify1-gzip0,0.19999999999999996,small,-0.4,0.6799999999999999,medium,JS Heap Used Size (Kb)
JSON-minify0-gzip0,JSON-minify1-gzip1,0.15999999999999992,small,-0.36,0.6399999999999999,medium,JS Heap Used Size (Kb)
JSON-minify0-gzip0,HTML-gzip0,-0.020000000000000018,negligible,-0.5800000000000001,0.52,medium,JS Heap Used Size (Kb)
JSON-minify0-gzip0,HTML-gzip1,0.1399999999999999,negligible,-0.42000000000000004,0.6599999999999999,medium,JS Heap Used Size (Kb)
JSON-minify0-gzip1,JSON-minify1-gzip0,0.26,small,-0.31999999999999995,0.74,medium,JS Heap Used Size (Kb)
JSON-minify0-gzip1,JSON-minify1-gzip1,0.10000000000000009,negligible,-0.42000000000000004,0.6000000000000001,medium,JS Heap Used Size (Kb)
JSON-minify0-gzip1,HTML-gzip0,0.15999999999999992,small,-0.36,0.72,medium,JS Heap Used Size (Kb)
JSON-minify0-gzip1,HTML-gzip1,0.1399999999999999,negligible,-0.42000000000000004,0.6599999999999999,medium,JS Heap Used Size (Kb)
JSON-minify1-gzip0,JSON-minify1-gzip1,-0.28,small,-0.8,0.22049999999999953,medium,JS Heap Used Size (Kb)
JSON-minify1-gzip0,HTML-gzip0,0.1399999999999999,negligible,-0.38,0.6799999999999999,medium,JS Heap Used Size (Kb)
JSON-minify1-gzip0,HTML-gzip1,-0.14,negligible,-0.6,0.43999999999999995,medium,JS Heap Used Size (Kb)
JSON-minify1-gzip1,HTML-gzip0,0.17999999999999994,small,-0.36,0.72,medium,JS Heap Used Size (Kb)
JSON-minify1-gzip1,HTML-gzip1,0.1399999999999999,negligible,-0.38,0.6604999999999994,medium,JS Heap Used Size (Kb)
HTML-gzip0,HTML-gzip1,-0.19999999999999996,small,-0.76,0.34049999999999964,medium,JS Heap Used Size (Kb)
JSON-minify0-gzip0,JSON-minify0-gzip1,0.3799999999999999,medium,-0.16000000000000003,0.8200000000000001,large,JS Heap Used Size (Kb)
