group1,group2,delta,interpretation,ci_lower,ci_upper,size,metric
JSON-minify0-gzip0,JSON-minify0-gzip1,-0.6799999999999999,large,-1.0,-0.28,extra-small,Score
JSON-minify0-gzip0,JSON-minify1-gzip0,-0.07999999999999996,negligible,-0.64,0.52,extra-small,Score
JSON-minify0-gzip0,JSON-minify1-gzip1,-0.8200000000000001,large,-1.0,-0.45999999999999996,extra-small,Score
JSON-minify0-gzip0,HTML-gzip0,0.8,large,0.3999999999999999,1.0,extra-small,Score
JSON-minify0-gzip0,HTML-gzip1,0.8,large,0.3999999999999999,1.0,extra-small,Score
JSON-minify0-gzip1,JSON-minify1-gzip0,0.17999999999999994,small,-0.43000000000000005,0.7,extra-small,Score
JSON-minify0-gzip1,JSON-minify1-gzip1,-0.53,large,-0.9,-0.07950000000000042,extra-small,Score
JSON-minify0-gzip1,HTML-gzip0,1.0,large,1.0,1.0,extra-small,Score
JSON-minify0-gzip1,HTML-gzip1,1.0,large,1.0,1.0,extra-small,Score
JSON-minify1-gzip0,JSON-minify1-gzip1,-0.74,large,-1.0,-0.35950000000000043,extra-small,Score
JSON-minify1-gzip0,HTML-gzip0,0.41999999999999993,medium,-0.09999999999999998,0.8404999999999996,extra-small,Score
JSON-minify1-gzip0,HTML-gzip1,0.41999999999999993,medium,-0.09999999999999998,0.8600000000000001,extra-small,Score
JSON-minify1-gzip1,HTML-gzip0,0.81,large,0.3999999999999999,1.0,extra-small,Score
JSON-minify1-gzip1,HTML-gzip1,0.81,large,0.3999999999999999,1.0,extra-small,Score
HTML-gzip0,HTML-gzip1,0.0,negligible,-0.19999999999999996,0.30000000000000004,extra-small,Score
JSON-minify0-gzip0,JSON-minify0-gzip1,-1.0,large,-1.0,-1.0,small,Score
JSON-minify0-gzip0,JSON-minify1-gzip0,-1.0,large,-1.0,-1.0,small,Score
JSON-minify0-gzip0,JSON-minify1-gzip1,-1.0,large,-1.0,-1.0,small,Score
JSON-minify0-gzip0,HTML-gzip0,1.0,large,1.0,1.0,small,Score
JSON-minify0-gzip0,HTML-gzip1,-1.0,large,-1.0,-1.0,small,Score
JSON-minify0-gzip1,JSON-minify1-gzip0,1.0,large,1.0,1.0,small,Score
