group1,group2,statistic,pvalue,pvalue_adjusted,significant,size,metric
JSON-minify0-gzip0,JSON-minify0-gzip1,12.5,0.0033509600224436308,0.023456720157105416,True,extra-small,CLS (s)
JSON-minify0-gzip0,JSON-minify1-gzip0,28.5,0.0819948829475423,0.4099744147377115,False,extra-small,CLS (s)
JSON-minify0-gzip0,JSON-minify1-gzip1,52.5,0.8423986970585505,1.0,False,extra-small,CLS (s)
JSON-minify0-gzip0,HTML-gzip0,0.0,0.00010514930262615095,0.0013669409341399623,True,extra-small,CLS (s)
JSON-minify0-gzip0,HTML-gzip1,0.0,0.00010514930262615095,0.0013669409341399623,True,extra-small,CLS (s)
JSON-minify0-gzip1,JSON-minify1-gzip0,52.5,0.8768044818426812,1.0,False,extra-small,CLS (s)
JSON-minify0-gzip1,JSON-minify1-gzip1,80.5,0.015788878689948566,0.0947332721396914,False,extra-small,CLS (s)
JSON-minify0-gzip1,HTML-gzip0,0.0,0.00013092946782056856,0.0014402241460262542,True,extra-small,CLS (s)
JSON-minify0-gzip1,HTML-gzip1,0.0,0.00013092946782056856,0.0014402241460262542,True,extra-small,CLS (s)
JSON-minify1-gzip0,JSON-minify1-gzip1,70.0,0.09568205578194292,0.4099744147377115,False,extra-small,CLS (s)
JSON-minify1-gzip0,HTML-gzip0,3.0,0.00030793936184870965,0.0027714542566383868,True,extra-small,CLS (s)
JSON-minify1-gzip0,HTML-gzip1,3.0,0.00030793936184870965,0.0027714542566383868,True,extra-small,CLS (s)
JSON-minify1-gzip1,HTML-gzip0,0.0,8.744986536701465e-05,0.0013117479805052198,True,extra-small,CLS (s)
JSON-minify1-gzip1,HTML-gzip1,0.0,8.744986536701465e-05,0.0013117479805052198,True,extra-small,CLS (s)
HTML-gzip0,HTML-gzip1,50.0,1.0,1.0,False,extra-small,CLS (s)
JSON-minify0-gzip0,JSON-minify0-gzip1,50.0,1.0,1.0,False,small,CLS (s)
JSON-minify0-gzip0,JSON-minify1-gzip0,50.0,1.0,1.0,False,small,CLS (s)
JSON-minify0-gzip0,JSON-minify1-gzip1,50.0,1.0,1.0,False,small,CLS (s)
JSON-minify0-gzip0,HTML-gzip0,0.0,4.1717252206199095e-05,0.0006257587830929864,True,small,CLS (s)
JSON-minify0-gzip0,HTML-gzip1,0.0,4.1717252206199095e-05,0.0006257587830929864,True,small,CLS (s)
JSON-minify0-gzip1,JSON-minify1-gzip0,50.0,1.0,1.0,False,small,CLS (s)
JSON-minify0-gzip1,JSON-minify1-gzip1,50.0,1.0,1.0,False,small,CLS (s)
JSON-minify0-gzip1,HTML-gzip0,0.0,4.1717252206199095e-05,0.0006257587830929864,True,small,CLS (s)
JSON-minify0-gzip1,HTML-gzip1,0.0,4.1717252206199095e-05,0.0006257587830929864,True,small,CLS (s)
JSON-minify1-gzip0,JSON-minify1-gzip1,50.0,1.0,1.0,False,small,CLS (s)
JSON-minify1-gzip0,HTML-gzip0,0.0,4.1717252206199095e-05,0.0006257587830929864,True,small,CLS (s)
JSON-minify1-gzip0,HTML-gzip1,0.0,4.1717252206199095e-05,0.0006257587830929864,True,small,CLS (s)
JSON-minify1-gzip1,HTML-gzip0,0.0,4.1717252206199095e-05,0.0006257587830929864,True,small,CLS (s)
JSON-minify1-gzip1,HTML-gzip1,0.0,4.1717252206199095e-05,0.0006257587830929864,True,small,CLS (s)
HTML-gzip0,HTML-gzip1,52.0,0.8887581843262682,1.0,False,small,CLS (s)
JSON-minify0-gzip0,JSON-minify0-gzip1,50.0,1.0,1.0,False,medium,CLS (s)
JSON-minify0-gzip0,JSON-minify1-gzip0,50.0,1.0,1.0,False,medium,CLS (s)
JSON-minify0-gzip0,JSON-minify1-gzip1,50.0,1.0,1.0,False,medium,CLS (s)
JSON-minify0-gzip0,HTML-gzip0,0.0,1.593791168806624e-05,0.00023906867532099362,True,medium,CLS (s)
