group1,group2,statistic,pvalue,pvalue_adjusted,significant,size,metric
JSON-minify0-gzip0,JSON-minify0-gzip1,51.0,0.9698499769931556,1.0,False,extra-small,FCP (s)
JSON-minify0-gzip0,JSON-minify1-gzip0,56.0,0.6775849579524755,1.0,False,extra-small,FCP (s)
JSON-minify0-gzip0,JSON-minify1-gzip1,38.0,0.3846730627355087,1.0,False,extra-small,FCP (s)
JSON-minify0-gzip0,HTML-gzip0,100.0,0.00018267179110955002,0.0027400768666432504,True,extra-small,FCP (s)
JSON-minify0-gzip0,HTML-gzip1,100.0,0.00018267179110955002,0.0027400768666432504,True,extra-small,FCP (s)
JSON-minify0-gzip1,JSON-minify1-gzip0,55.0,0.7337299956962472,1.0,False,extra-small,FCP (s)
JSON-minify0-gzip1,JSON-minify1-gzip1,37.0,0.3447042220069576,1.0,False,extra-small,FCP (s)
JSON-minify0-gzip1,HTML-gzip0,100.0,0.00018267179110955002,0.0027400768666432504,True,extra-small,FCP (s)
JSON-minify0-gzip1,HTML-gzip1,100.0,0.00018267179110955002,0.0027400768666432504,True,extra-small,FCP (s)
JSON-minify1-gzip0,JSON-minify1-gzip1,34.0,0.24132159301718004,1.0,False,extra-small,FCP (s)
JSON-minify1-gzip0,HTML-gzip0,100.0,0.00018267179110955002,0.0027400768666432504,True,extra-small,FCP (s)
JSON-minify1-gzip0,HTML-gzip1,100.0,0.00018267179110955002,0.0027400768666432504,True,extra-small,FCP (s)
JSON-minify1-gzip1,HTML-gzip0,100.0,0.00018267179110955002,0.0027400768666432504,True,extra-small,FCP (s)
JSON-minify1-gzip1,HTML-gzip1,100.0,0.00018267179110955002,0.0027400768666432504,True,extra-small,FCP (s)
HTML-gzip0,HTML-gzip1,100.0,0.00018267179110955002,0.0027400768666432504,True,extra-small,FCP (s)
JSON-minify0-gzip0,JSON-minify0-gzip1,50.0,1.0,1.0,False,small,FCP (s)
JSON-minify0-gzip0,JSON-minify1-gzip0,66.0,0.24132159301718004,1.0,False,small,FCP (s)
JSON-minify0-gzip0,JSON-minify1-gzip1,52.0,0.9097218891455553,1.0,False,small,FCP (s)
JSON-minify0-gzip0,HTML-gzip0,0.0,0.00018267179110955002,0.0027400768666432504,True,small,FCP (s)
JSON-minify0-gzip0,HTML-gzip1,100.0,0.00018267179110955002,0.0027400768666432504,True,small,FCP (s)
JSON-minify0-gzip1,JSON-minify1-gzip0,65.0,0.27303633975118835,1.0,False,small,FCP (s)
JSON-minify0-gzip1,JSON-minify1-gzip1,50.0,1.0,1.0,False,small,FCP (s)
JSON-minify0-gzip1,HTML-gzip0,0.0,0.00018267179110955002,0.0027400768666432504,True,small,FCP (s)
JSON-minify0-gzip1,HTML-gzip1,100.0,0.00018267179110955002,0.0027400768666432504,True,small,FCP (s)
JSON-minify1-gzip0,JSON-minify1-gzip1,33.0,0.21229383619233166,1.0,False,small,FCP (s)
JSON-minify1-gzip0,HTML-gzip0,0.0,0.00018267179110955002,0.0027400768666432504,True,small,FCP (s)
JSON-minify1-gzip0,HTML-gzip1,100.0,0.00018267179110955002,0.0027400768666432504,True,small,FCP (s)
JSON-minify1-gzip1,HTML-gzip0,0.0,0.00018267179110955002,0.0027400768666432504,True,small,FCP (s)
JSON-minify1-gzip1,HTML-gzip1,100.0,0.00018267179110955002,0.0027400768666432504,True,small,FCP (s)
HTML-gzip0,HTML-gzip1,100.0,0.00018267179110955002,0.0027400768666432504,True,small,FCP (s)
JSON-minify0-gzip0,JSON-minify0-gzip1,51.0,0.9698499769931556,0.9698499769931556,False,medium,FCP (s)
JSON-minify0-gzip0,JSON-minify1-gzip0,21.0,0.031209012771740218,0.12483605108696087,False,medium,FCP (s)
JSON-minify0-gzip0,JSON-minify1-gzip1,34.0,0.24132159301718004,0.7239647790515401,False,medium,FCP (s)
JSON-minify0-gzip0,HTML-gzip0,0.0,0.00018267179110955002,0.0027400768666432504,True,medium,FCP (s)
JSON-minify0-gzip0,HTML-gzip1,100.0,0.00018267179110955002,0.0027400768666432504,True,medium,FCP (s)
JSON-minify0-gzip1,JSON-minify1-gzip0,18.0,0.017257456083119765,0.08628728041559883,False,medium,FCP (s)
JSON-minify0-gzip1,JSON-minify1-gzip1,39.0,0.4273553138978077,0.8547106277956154,False,medium,FCP (s)
JSON-minify0-gzip1,HTML-gzip0,0.0,0.00018267179110955002,0.0027400768666432504,True,medium,FCP (s)
JSON-minify0-gzip1,HTML-gzip1,100.0,0.00018267179110955002,0.0027400768666432504,True,medium,FCP (s)
JSON-minify1-gzip0,JSON-minify1-gzip1,85.0,0.009108496398030965,0.05465097838818579,False,medium,FCP (s)
JSON-minify1-gzip0,HTML-gzip0,0.0,0.00018267179110955002,0.0027400768666432504,True,medium,FCP (s)
JSON-minify1-gzip0,HTML-gzip1,100.0,0.00018267179110955002,0.0027400768666432504,True,medium,FCP (s)
JSON-minify1-gzip1,HTML-gzip0,0.0,0.00018267179110955002,0.0027400768666432504,True,medium,FCP (s)
JSON-minify1-gzip1,HTML-gzip1,100.0,0.00018267179110955002,0.0027400768666432504,True,medium,FCP (s)
HTML-gzip0,HTML-gzip1,100.0,0.00018267179110955002,0.0027400768666432504,True,medium,FCP (s)
JSON-minify0-gzip0,JSON-minify0-gzip1,58.0,0.570605503511469,1.0,False,large,FCP (s)
JSON-minify0-gzip0,JSON-minify1-gzip0,47.0,0.8500510248972775,1.0,False,large,FCP (s)
JSON-minify0-gzip0,JSON-minify1-gzip1,52.0,0.9096880762234906,1.0,False,large,FCP (s)
JSON-minify0-gzip0,HTML-gzip0,0.0,0.0001816511460914649,0.0027247671913719733,True,large,FCP (s)
JSON-minify0-gzip0,HTML-gzip1,100.0,0.0001816511460914649,0.0027247671913719733,True,large,FCP (s)
JSON-minify0-gzip1,JSON-minify1-gzip0,34.0,0.24132159301718004,1.0,False,large,FCP (s)
JSON-minify0-gzip1,JSON-minify1-gzip1,40.0,0.47267559351158717,1.0,False,large,FCP (s)
JSON-minify0-gzip1,HTML-gzip0,0.0,0.00018267179110955002,0.0027247671913719733,True,large,FCP (s)
JSON-minify0-gzip1,HTML-gzip1,100.0,0.00018267179110955002,0.0027247671913719733,True,large,FCP (s)
JSON-minify1-gzip0,JSON-minify1-gzip1,51.0,0.9698499769931556,1.0,False,large,FCP (s)
JSON-minify1-gzip0,HTML-gzip0,0.0,0.00018267179110955002,0.0027247671913719733,True,large,FCP (s)
JSON-minify1-gzip0,HTML-gzip1,100.0,0.00018267179110955002,0.0027247671913719733,True,large,FCP (s)
JSON-minify1-gzip1,HTML-gzip0,0.0,0.00018267179110955002,0.0027247671913719733,True,large,FCP (s)
JSON-minify1-gzip1,HTML-gzip1,100.0,0.00018267179110955002,0.0027247671913719733,True,large,FCP (s)
HTML-gzip0,HTML-gzip1,100.0,0.00018267179110955002,0.0027247671913719733,True,large,FCP (s)
JSON-minify0-gzip0,JSON-minify0-gzip1,73.0,0.08897301170181328,0.3558920468072531,False,extra-large,FCP (s)
JSON-minify0-gzip0,JSON-minify1-gzip0,73.0,0.08897301170181328,0.3558920468072531,False,extra-large,FCP (s)
JSON-minify0-gzip0,JSON-minify1-gzip1,36.0,0.3074894566186813,0.6149789132373626,False,extra-large,FCP (s)
JSON-minify0-gzip0,HTML-gzip0,0.0,0.00018267179110955002,0.0027400768666432504,True,extra-large,FCP (s)
JSON-minify0-gzip0,HTML-gzip1,100.0,0.00018267179110955002,0.0027400768666432504,True,extra-large,FCP (s)
JSON-minify0-gzip1,JSON-minify1-gzip0,54.0,0.7913367801006604,0.7913367801006604,False,extra-large,FCP (s)
JSON-minify0-gzip1,JSON-minify1-gzip1,15.0,0.009108496398030965,0.05465097838818579,False,extra-large,FCP (s)
JSON-minify0-gzip1,HTML-gzip0,0.0,0.00018267179110955002,0.0027400768666432504,True,extra-large,FCP (s)
JSON-minify0-gzip1,HTML-gzip1,100.0,0.00018267179110955002,0.0027400768666432504,True,extra-large,FCP (s)
JSON-minify1-gzip0,JSON-minify1-gzip1,16.0,0.011329696684474666,0.05664848342237333,False,extra-large,FCP (s)
JSON-minify1-gzip0,HTML-gzip0,0.0,0.00018267179110955002,0.0027400768666432504,True,extra-large,FCP (s)
JSON-minify1-gzip0,HTML-gzip1,100.0,0.00018267179110955002,0.0027400768666432504,True,extra-large,FCP (s)
JSON-minify1-gzip1,HTML-gzip0,0.0,0.00018267179110955002,0.0027400768666432504,True,extra-large,FCP (s)
JSON-minify1-gzip1,HTML-gzip1,100.0,0.00018267179110955002,0.0027400768666432504,True,extra-large,FCP (s)
HTML-gzip0,HTML-gzip1,100.0,0.00018267179110955002,0.0027400768666432504,True,extra-large,FCP (s)
