group,mean,median,std,q25,q75,iqr,min,max,n,mean_std,median_iqr
extra-small-JSON-minify0-gzip0,140619.76953125,122353.359375,46699.25975163001,112763.126953125,126968.798828125,14205.671875,104242.5078125,236519.53125,10,140619.770 ± 46699.260,"122353.359 [112763.127, 126968.799]"
extra-small-JSON-minify0-gzip1,131701.63828125,124372.171875,36506.8172292428,120881.861328125,125562.1796875,4680.318359375,98531.8046875,238160.625,10,131701.638 ± 36506.817,"124372.172 [120881.861, 125562.180]"
extra-small-JSON-minify1-gzip0,167814.6296875,124330.9921875,57781.72476529957,122944.68359375,237265.212890625,114320.529296875,109354.0625,242551.2421875,10,167814.630 ± 57781.725,"124330.992 [122944.684, 237265.213]"
extra-small-JSON-minify1-gzip1,115768.74140625,114223.44140625,8127.919951072843,109998.861328125,122708.712890625,12709.8515625,103178.4921875,127388.8671875,10,115768.741 ± 8127.920,"114223.441 [109998.861, 122708.713]"
extra-small-HTML-gzip0,114135.9328125,114353.02734375,7030.849257601824,109203.265625,119316.693359375,10113.427734375,103552.8046875,124875.8828125,10,114135.933 ± 7030.849,"114353.027 [109203.266, 119316.693]"
extra-small-HTML-gzip1,127950.64765625,121847.9296875,36167.36286663315,109723.083984375,124195.1328125,14472.048828125,102862.1796875,233859.4453125,10,127950.648 ± 36167.363,"121847.930 [109723.084, 124195.133]"
small-JSON-minify0-gzip0,226897.92578125,226016.02734375,5435.192279023051,223494.98828125,231506.330078125,8011.341796875,217632.921875,236241.296875,10,226897.926 ± 5435.192,"226016.027 [223494.988, 231506.330]"
small-JSON-minify0-gzip1,223512.44140625,223878.1796875,2892.869292007549,220699.6953125,225291.21875,4591.5234375,219817.53125,229017.5,10,223512.441 ± 2892.869,"223878.180 [220699.695, 225291.219]"
small-JSON-minify1-gzip0,223257.83359375,224860.921875,4442.981298927583,219211.951171875,226433.212890625,7221.26171875,215103.515625,228903.3828125,10,223257.834 ± 4442.981,"224860.922 [219211.951, 226433.213]"
small-JSON-minify1-gzip1,222723.89296875,221576.28515625,3621.117365175575,219744.154296875,226541.27734375,6797.123046875,217999.5625,228297.234375,10,222723.893 ± 3621.117,"221576.285 [219744.154, 226541.277]"
small-HTML-gzip0,228070.51015625,227057.41796875,3538.214726911859,226083.1171875,229513.89453125,3430.77734375,222849.546875,235561.5625,10,228070.510 ± 3538.215,"227057.418 [226083.117, 229513.895]"
small-HTML-gzip1,225319.63203125,225755.171875,2180.578182177157,224174.5546875,226908.095703125,2733.541015625,220656.4765625,228542.5390625,10,225319.632 ± 2180.578,"225755.172 [224174.555, 226908.096]"
medium-JSON-minify0-gzip0,626222.471875,629883.33984375,33006.486828073495,601676.080078125,659183.88671875,57507.806640625,572291.46875,660139.1796875,10,626222.472 ± 33006.487,"629883.340 [601676.080, 659183.887]"
medium-JSON-minify0-gzip1,627775.12578125,641151.3125,35081.0263117149,597886.916015625,654256.380859375,56369.46484375,562898.25,666763.0390625,10,627775.126 ± 35081.026,"641151.312 [597886.916, 654256.381]"
medium-JSON-minify1-gzip0,621315.84296875,640398.64453125,34644.03684985565,622880.177734375,641127.494140625,18247.31640625,552761.9921875,650035.4140625,10,621315.843 ± 34644.037,"640398.645 [622880.178, 641127.494]"
medium-JSON-minify1-gzip1,623173.70234375,644212.58203125,41044.53632406125,586648.18359375,649298.109375,62649.92578125,550840.1796875,664502.3984375,10,623173.702 ± 41044.536,"644212.582 [586648.184, 649298.109]"
medium-HTML-gzip0,627689.9625,627494.66796875,25460.515934399493,620652.900390625,633695.568359375,13042.66796875,567382.953125,669026.9375,10,627689.963 ± 25460.516,"627494.668 [620652.900, 633695.568]"
medium-HTML-gzip1,628903.73828125,633539.03125,25381.171225395457,629190.818359375,646473.681640625,17282.86328125,567363.0390625,654782.171875,10,628903.738 ± 25381.171,"633539.031 [629190.818, 646473.682]"
large-JSON-minify0-gzip0,809189.8,805456.79296875,65623.26751658643,746015.0625,877812.98828125,131797.92578125,731620.171875,880297.921875,10,809189.800 ± 65623.268,"805456.793 [746015.062, 877812.988]"
large-JSON-minify0-gzip1,784669.87734375,786709.99609375,71875.83661861479,719479.375,842648.189453125,123168.814453125,689795.03125,901155.1015625,10,784669.877 ± 71875.837,"786709.996 [719479.375, 842648.189]"
large-JSON-minify1-gzip0,843094.86875,852820.921875,37578.641963410635,849576.70703125,855036.673828125,5459.966796875,732685.46875,871455.953125,10,843094.869 ± 37578.642,"852820.922 [849576.707, 855036.674]"
large-JSON-minify1-gzip1,814298.89765625,844553.41796875,51419.82587484752,775555.330078125,850138.375,74583.044921875,723327.1953125,853182.7578125,10,814298.898 ± 51419.826,"844553.418 [775555.330, 850138.375]"
large-HTML-gzip0,680370.9890625,680769.234375,27759.425102971345,672721.255859375,696828.521484375,24107.265625,624823.8984375,729088.640625,10,680370.989 ± 27759.425,"680769.234 [672721.256, 696828.521]"
large-HTML-gzip1,725786.82734375,697137.265625,89739.47923443183,685344.9140625,720071.716796875,34726.802734375,619510.2265625,900815.046875,10,725786.827 ± 89739.479,"697137.266 [685344.914, 720071.717]"
extra-large-JSON-minify0-gzip0,966126.215625,1012635.84375,74977.51897318965,914845.86328125,1014691.01953125,99845.15625,810158.1953125,1017875.75,10,966126.216 ± 74977.519,"1012635.844 [914845.863, 1014691.020]"
extra-large-JSON-minify0-gzip1,970469.58203125,1000896.4296875,47800.39967827885,925828.828125,1009271.876953125,83443.048828125,886377.7109375,1016920.8203125,10,970469.582 ± 47800.400,"1000896.430 [925828.828, 1009271.877]"
extra-large-JSON-minify1-gzip0,870828.88046875,870784.02734375,19898.180351973548,860934.521484375,876947.078125,16012.556640625,839902.65625,911988.6953125,10,870828.880 ± 19898.180,"870784.027 [860934.521, 876947.078]"
extra-large-JSON-minify1-gzip1,953882.3328125,995886.14453125,74865.21969950093,900307.814453125,1006663.8828125,106356.068359375,824504.03125,1016662.25,10,953882.333 ± 74865.220,"995886.145 [900307.814, 1006663.883]"
extra-large-HTML-gzip0,775172.17890625,787783.7734375,46251.78608184721,768638.291015625,799541.087890625,30902.796875,649089.2890625,826114.171875,10,775172.179 ± 46251.786,"787783.773 [768638.291, 799541.088]"
extra-large-HTML-gzip1,790774.2625,786133.6171875,14703.06428279556,783467.9765625,790688.802734375,7220.826171875,774369.9609375,823731.0390625,10,790774.262 ± 14703.064,"786133.617 [783467.977, 790688.803]"
