group,mean,median,std,q25,q75,iqr,min,max,n,mean_std,median_iqr
extra-small-JSON-minify0-gzip0,83.4,85.0,3.4698703145794947,85.0,85.0,0.0,74.0,85.0,10,83.400 ± 3.470,"85.000 [85.000, 85.000]"
extra-small-JSON-minify0-gzip1,88.6,87.0,5.314132102234569,87.0,90.0,3.0,82.0,98.0,10,88.600 ± 5.314,"87.000 [87.000, 90.000]"
extra-small-JSON-minify1-gzip0,84.7,88.0,9.80866963456309,77.0,94.0,17.0,70.0,94.0,10,84.700 ± 9.809,"88.000 [77.000, 94.000]"
extra-small-JSON-minify1-gzip1,94.7,98.0,7.043436661176133,98.0,98.0,0.0,76.0,98.0,10,94.700 ± 7.043,"98.000 [98.000, 98.000]"
extra-small-HTML-gzip0,76.9,77.0,0.30000000000000004,77.0,77.0,0.0,76.0,77.0,10,76.900 ± 0.300,"77.000 [77.000, 77.000]"
extra-small-HTML-gzip1,76.9,77.0,0.30000000000000004,77.0,77.0,0.0,76.0,77.0,10,76.900 ± 0.300,"77.000 [77.000, 77.000]"
small-JSON-minify0-gzip0,74.0,74.0,0.0,74.0,74.0,0.0,74.0,74.0,10,74.000 ± 0.000,"74.000 [74.000, 74.000]"
small-JSON-minify0-gzip1,97.0,97.0,0.0,97.0,97.0,0.0,97.0,97.0,10,97.000 ± 0.000,"97.000 [97.000, 97.000]"
small-JSON-minify1-gzip0,77.0,77.0,0.0,77.0,77.0,0.0,77.0,77.0,10,77.000 ± 0.000,"77.000 [77.000, 77.000]"
small-JSON-minify1-gzip1,97.0,97.0,0.0,97.0,97.0,0.0,97.0,97.0,10,97.000 ± 0.000,"97.000 [97.000, 97.000]"
small-HTML-gzip0,64.7,65.0,0.45825756949558394,64.25,65.0,0.75,64.0,65.0,10,64.700 ± 0.458,"65.000 [64.250, 65.000]"
small-HTML-gzip1,76.9,77.0,0.30000000000000004,77.0,77.0,0.0,76.0,77.0,10,76.900 ± 0.300,"77.000 [77.000, 77.000]"
medium-JSON-minify0-gzip0,74.0,74.0,0.0,74.0,74.0,0.0,74.0,74.0,10,74.000 ± 0.000,"74.000 [74.000, 74.000]"
medium-JSON-minify0-gzip1,87.0,87.0,0.0,87.0,87.0,0.0,87.0,87.0,10,87.000 ± 0.000,"87.000 [87.000, 87.000]"
medium-JSON-minify1-gzip0,74.0,74.0,0.0,74.0,74.0,0.0,74.0,74.0,10,74.000 ± 0.000,"74.000 [74.000, 74.000]"
medium-JSON-minify1-gzip1,91.0,91.0,0.0,91.0,91.0,0.0,91.0,91.0,10,91.000 ± 0.000,"91.000 [91.000, 91.000]"
medium-HTML-gzip0,31.3,31.0,0.6403124237432849,31.0,32.0,1.0,30.0,32.0,10,31.300 ± 0.640,"31.000 [31.000, 32.000]"
medium-HTML-gzip1,74.0,75.0,1.2649110640673518,73.0,75.0,2.0,72.0,75.0,10,74.000 ± 1.265,"75.000 [73.000, 75.000]"
large-JSON-minify0-gzip0,69.6,70.0,0.66332495807108,69.25,70.0,0.75,68.0,70.0,10,69.600 ± 0.663,"70.000 [69.250, 70.000]"
large-JSON-minify0-gzip1,72.1,72.0,0.8306623862918076,72.0,72.75,0.75,70.0,73.0,10,72.100 ± 0.831,"72.000 [72.000, 72.750]"
large-JSON-minify1-gzip0,72.1,72.0,0.5385164807134505,72.0,72.0,0.0,71.0,73.0,10,72.100 ± 0.539,"72.000 [72.000, 72.000]"
large-JSON-minify1-gzip1,77.9,78.0,0.30000000000000004,78.0,78.0,0.0,77.0,78.0,10,77.900 ± 0.300,"78.000 [78.000, 78.000]"
large-HTML-gzip0,23.7,22.5,2.7221315177632404,22.0,23.0,1.0,22.0,30.0,10,23.700 ± 2.722,"22.500 [22.000, 23.000]"
large-HTML-gzip1,67.2,67.0,0.4,67.0,67.0,0.0,67.0,68.0,10,67.200 ± 0.400,"67.000 [67.000, 67.000]"
extra-large-JSON-minify0-gzip0,54.5,55.00000000000001,0.6708203932499401,54.0,55.00000000000001,1.000000000000007,53.0,55.00000000000001,10,54.500 ± 0.671,"55.000 [54.000, 55.000]"
extra-large-JSON-minify0-gzip1,54.1,54.0,0.3000000000000021,54.0,54.0,0.0,54.0,55.00000000000001,10,54.100 ± 0.300,"54.000 [54.000, 54.000]"
extra-large-JSON-minify1-gzip0,54.90000000000001,55.00000000000001,0.3000000000000021,55.00000000000001,55.00000000000001,0.0,54.0,55.00000000000001,10,54.900 ± 0.300,"55.000 [55.000, 55.000]"
extra-large-JSON-minify1-gzip1,56.1,56.00000000000001,0.5385164807134456,56.00000000000001,56.00000000000001,0.0,55.00000000000001,56.99999999999999,10,56.100 ± 0.539,"56.000 [56.000, 56.000]"
extra-large-HTML-gzip0,15.7,16.0,1.0049875621120892,16.0,16.0,0.0,13.0,17.0,10,15.700 ± 1.005,"16.000 [16.000, 16.000]"
extra-large-HTML-gzip1,60.4,61.0,1.8000000000000025,60.25,61.75,1.5,56.99999999999999,62.0,10,60.400 ± 1.800,"61.000 [60.250, 61.750]"
