Format,Size,Minify,Gzip,Score,LCP (s),FID (ms),CLS (s),FCP (s),SI (s),TTI (s),User CPU (%),System CPU (%),Memory RSS (Kb),Heap Total (Kb),Heap Used (Kb),JS Heap Used Size (Kb),JS Heap Total Size (Kb)
json,extra-small,0,0,85,4.206810000000001,16,0,1.5794450000000002,1.5794450000000002,4.23681,1272.804,158.548,267120,162464,117052.5234375,117052.5234375,162464
json,extra-small,0,0,85,4.2067827,16,0,1.5803388500000002,1.5803388500000002,4.2367827,2024.531,229.462,360720,263376,229281.0703125,229281.0703125,263376
json,extra-small,0,0,85,4.2826052,16,0.0010775334589160877,1.5809377749999998,1.5809377749999998,4.3051052,2826.427,295.472,360080,177056,124268.953125,124268.953125,177056
json,extra-small,0,0,85,4.20692425,16,0,1.5794621750000002,1.5794621750000002,4.23692425,3306.072,334.587,373264,261840,236519.53125,236519.53125,261840
json,extra-small,0,0,85,4.20708125,16,0,1.580504525,1.580504525,4.23708125,3870.461,378.689,370448,178592,125828.125,125828.125,178592
json,extra-small,0,0,80,4.2824249,16,0.13188600162141736,1.5801791500000002,1.5801791500000002,4.3049249,4564.73,439.586,371200,151456,120437.765625,120437.765625,151456
json,extra-small,0,0,74,4.357122599999999,16,0.21981000270236228,1.5803150499999998,1.5803150499999998,4.3721226,5046.238,489.985,370736,183936,104242.5078125,104242.5078125,183936
json,extra-small,0,0,85,4.20667475,16,0,1.5794010499999998,1.5794010499999998,4.23667475,5612.233,535.371,370992,148352,111333.328125,111333.328125,148352
json,extra-small,0,0,85,4.28263025,16,0,1.5818263750000001,1.5818263750000001,4.30513025,6179.569,584.053,373200,155040,127349.0234375,127349.0234375,155040
json,extra-small,0,0,85,4.20796805,16,0,1.580108075,1.580108075,4.237968049999999,6758.362,630.953,372208,151424,109884.8671875,109884.8671875,151424
json,extra-small,0,1,91,2.1809871750000003,16,0.1624399964985251,1.579959125,1.579959125,2.2034895375000003,7270.194,678.228,373056,162768,127842.4296875,127842.4296875,162768
json,extra-small,0,1,87,2.1808427999999997,16,0.21981000270236228,1.5798431249999998,1.5798431249999998,2.2033448250000003,7756.333,726.814,375376,206256,98531.8046875,98531.8046875,206256
json,extra-small,0,1,82,2.2569789,16,0.31246423433610665,1.5808038500000003,1.5808038500000003,2.2719794099999997,8312.333,781.287,376864,209360,123563.46875,123563.46875,209360
json,extra-small,0,1,82,2.25588405,16,0.31246423433610665,1.5798697750000001,1.5798697750000001,2.2708854900000004,8885.488,850.477,377072,201936,122775.8515625,122775.8515625,201936
json,extra-small,0,1,87,2.2557778500000003,16,0.21981000270236228,1.5797732249999998,1.5797732249999998,2.2707796350000002,9359.864,906.856,377376,263216,238160.625,238160.625,263216
json,extra-small,0,1,87,2.2570271999999996,16,0.21981000270236228,1.5808546,1.5808546,2.2720272599999998,9948.801,966.928,372976,181712,120250.53125,120250.53125,181712
json,extra-small,0,1,87,2.2568838,16,0.21981000270236228,1.5806955500000002,1.5806955500000002,2.2718855550000003,10440.743,1018.164,372096,216496,109751.734375,109751.734375,216496
json,extra-small,0,1,98,2.1061605,16,0,1.580106525,1.580106525,2.13616413,10941.884,1059.602,373184,212944,125314.234375,125314.234375,212944
json,extra-small,0,1,98,2.18109015,16,0.0010775334589160877,1.5800555749999998,1.5800555749999998,2.2035916799999997,11531.699,1115.293,373552,151248,125180.875,125180.875,151248
json,extra-small,0,1,87,2.2565287499999993,16,0.21981000270236228,1.5804000249999999,1.5804000249999999,2.27153049,12088.212,1167.507,373600,156368,125644.828125,125644.828125,156368
json,extra-small,1,0,77,3.15590255,16,0.31246423433610665,1.58003245,1.58003245,3.1709025499999997,12537.511,1215.999,377728,267280,242551.2421875,242551.2421875,267280
json,extra-small,1,0,82,3.1567755499999994,16,0.21981000270236228,1.58010495,1.58010495,3.17177555,13080.331,1269.879,375840,175536,120693.8203125,120693.8203125,175536
json,extra-small,1,0,70,3.1564848500000005,16,0.63028937465347,1.58183925,1.58183925,3.17148485,13543.791,1319.091,379792,267504,239317.703125,239317.703125,267504
json,extra-small,1,0,94,3.00591925,16,0,1.5798685749999999,1.5798685749999999,3.03591925,14110.393,1366.539,374848,153232,109354.0625,109354.0625,153232
json,extra-small,1,0,94,3.0062038,16,0,1.579826,1.579826,3.0362038,14719.547,1418.702,375904,153776,122823.5859375,122823.5859375,153776
json,extra-small,1,0,94,3.0061974,16,0,1.5800251500000002,1.5800251500000002,3.0361974000000003,15103.042,1458.532,379808,264176,231107.7421875,231107.7421875,264176
json,extra-small,1,0,94,3.0064504000000003,16,0,1.579779425,1.579779425,3.0364504000000005,15653.12,1506.9,375920,164016,124112.8828125,124112.8828125,164016
